no.      longtitude  latitude    distance  profile-len  min-depth  max-depth  conv
  1_1     -43.65987  28.13942       0.000       0             0          0      0
  1_2     -43.65987  28.13942       0.000       0             0          0      0
  1_3     -43.65987  28.13942       0.000       0             0          0      0
  1_4     -43.65987  28.13942       0.000       0             0          0      0
  1_5     -43.65987  28.13942       0.000       0             0          0      0
  1_6     -43.65987  28.13942       0.000       0             0          0      0
  1_7     -43.65987  28.13942       0.000       0             0          0      0
  1_8     -43.65987  28.13942       0.000       0             0          0      0
  1_9     -43.65987  28.13942       0.000       0             0          0      0
  1_10    -43.65987  28.13942       0.000       0             0          0      0
  1_11    -43.65987  28.13942       0.000       0             0          0      0
  1_12    -43.65987  28.13942       0.000       0             0          0      0
  1_13    -43.65987  28.13942       0.000       0             0          0      0
  1_14    -43.65987  28.13942       0.000       0             0          0      0
  1_15    -43.65987  28.13942       0.000       0             0          0      0
  1_16    -43.65987  28.13942       0.000       0             0          0      0
  1_17    -43.65987  28.13942       0.000       0             0          0      0
  1_18    -43.65987  28.13942       0.000       0             0          0      0
  1_19    -43.65987  28.13942       0.000       0             0          0      0
  1_20    -43.65987  28.13942       0.000       0             0          0      0
  1_21    -43.65987  28.13942       0.000       0             0          0      0
  1_22    -43.65987  28.13942       0.000       0             0          0      0
  1_23    -43.65987  28.13942       0.000       0             0          0      0
  1_24    -43.65987  28.13942       0.000       0             0          0      0
  1_25    -43.65987  28.13942       0.000       0             0          0      0
  1_26    -43.65987  28.13942       0.000       0             0          0      0
  1_27    -43.65987  28.13942       0.000       0             0          0      0
  1_28    -43.65987  28.13942       0.000       0             0          0      0
  1_29    -43.65987  28.13942       0.000       0             0          0      0
  1_30    -43.65987  28.13942       0.000       0             0          0      0
  1_31    -43.65987  28.13942       0.000       0             0          0      0
  1_32    -43.65987  28.13942       0.000       0             0          0      0
  1_33    -43.65987  28.13942       0.000       0             0          0      0
  1_34    -43.65987  28.13942       0.000       0             0          0      0
  1_35    -43.65987  28.13942       0.000       0             0          0      0
  1_36    -43.65987  28.13942       0.000       0             0          0      0
  1_37    -43.65987  28.13942       0.000       0             0          0      0
  1_38    -43.65987  28.13942       0.000       0             0          0      0
  1_39    -43.65987  28.13942       0.000       0             0          0      0
  1_40    -43.65987  28.13942       0.000       0             0          0      0
  1_41    -43.65987  28.13942       0.000       0             0          0      0
  1_42    -43.65987  28.13942       0.000       0             0          0      0
  1_43    -43.65987  28.13942       0.000       0             0          0      0
  1_44    -43.65987  28.13942       0.000       0             0          0      0
  1_45    -43.65987  28.13942       0.000       0             0          0      0
  1_46    -43.65987  28.13942       0.000       0             0          0      0
  1_47    -43.65987  28.13942       0.000       0             0          0      0
  1_48    -43.65987  28.13942       0.000       0             0          0      0
  1_49    -43.65987  28.13942       0.000       0             0          0      0
  1_50    -43.65987  28.13942       0.000       0             0          0      0
  1_51    -43.65987  28.13942       0.000       0             0          0      0
  1_52    -43.65987  28.13942       0.000       0             0          0      0
  1_53    -43.65987  28.13942       0.000      32         -2520      -3444      3
  1_54    -43.65987  28.13942       0.000      30         -2564      -3445      1
  1_55    -43.65987  28.13942       0.000      29         -2558      -3445      1
  1_56    -43.65987  28.13942       0.000       0             0          0      0
  1_57    -43.65987  28.13942       0.000       0             0          0      0
