no.      longtitude  latitude   distance  l-width  r-width  l-height  r-height  l-minmax-slope  r-minmax-slope  l-max-slope  r-max-slope  l-area  r-area
  1_1     -43.65987  28.13942     0.000       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  1_2     -43.65987  28.13942     0.000       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  1_3     -43.65987  28.13942     0.000       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  1_4     -43.65987  28.13942     0.000       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  1_5     -43.65987  28.13942     0.000       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  1_6     -43.65987  28.13942     0.000       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  1_7     -43.65987  28.13942     0.000       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  1_8     -43.65987  28.13942     0.000       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  1_9     -43.65987  28.13942     0.000       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  1_10    -43.65987  28.13942     0.000       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  1_11    -43.65987  28.13942     0.000       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  1_12    -43.65987  28.13942     0.000       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  1_13    -43.65987  28.13942     0.000       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  1_14    -43.65987  28.13942     0.000       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  1_15    -43.65987  28.13942     0.000       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  1_16    -43.65987  28.13942     0.000       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  1_17    -43.65987  28.13942     0.000       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  1_18    -43.65987  28.13942     0.000       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  1_19    -43.65987  28.13942     0.000       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  1_20    -43.65987  28.13942     0.000       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  1_21    -43.65987  28.13942     0.000       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  1_22    -43.65987  28.13942     0.000       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  1_23    -43.65987  28.13942     0.000       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  1_24    -43.65987  28.13942     0.000       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  1_25    -43.65987  28.13942     0.000       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  1_26    -43.65987  28.13942     0.000       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  1_27    -43.65987  28.13942     0.000       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  1_28    -43.65987  28.13942     0.000       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  1_29    -43.65987  28.13942     0.000       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  1_30    -43.65987  28.13942     0.000       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  1_31    -43.65987  28.13942     0.000       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  1_32    -43.65987  28.13942     0.000       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  1_33    -43.65987  28.13942     0.000       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  1_34    -43.65987  28.13942     0.000       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  1_35    -43.65987  28.13942     0.000       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  1_36    -43.65987  28.13942     0.000       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  1_37    -43.65987  28.13942     0.000       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  1_38    -43.65987  28.13942     0.000       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  1_39    -43.65987  28.13942     0.000       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  1_40    -43.65987  28.13942     0.000       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  1_41    -43.65987  28.13942     0.000       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  1_42    -43.65987  28.13942     0.000       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  1_43    -43.65987  28.13942     0.000       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  1_44    -43.65987  28.13942     0.000       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  1_45    -43.65987  28.13942     0.000       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  1_46    -43.65987  28.13942     0.000       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  1_47    -43.65987  28.13942     0.000       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  1_48    -43.65987  28.13942     0.000       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  1_49    -43.65987  28.13942     0.000       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  1_50    -43.65987  28.13942     0.000       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  1_51    -43.65987  28.13942     0.000       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  1_52    -43.65987  28.13942     0.000       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
